"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Juliera","Liberty","ADC",14,"14%","36%",49,36,59,3,"65.1%","29.5%","14.5%","7%",-139,-148,-3.4,9.5,"35.3%",692,"30.9%","34.0%",295,"28.0%",0,0.49,0.16,0.36
"Kiari","Liberty","Top",14,"14%","50%",39,47,56,2,"57.2%","23.5%","18.9%","7%",-47,64,-0.7,7.3,"22.3%",454,"21.1%","19.5%",237,"22.2%",0,0.43,0.2,0.21
"Krastyel","KaBuM! Esports","Middle",18,"6%","44%",36,62,72,1.7,"64.7%","21.6%","19.3%","28%",-170,-132,-2.9,8,"24.8%",587,"30.2%","30.7%",236,"24.1%",0,0.57,0.27,0.23
"Lava","Los Grandes","Middle",18,"33%","39%",58,60,98,2.6,"71.2%","26.5%","20.4%","22%",162,205,6.1,8.6,"27.3%",699,"30.7%","30.0%",273,"24.7%",0,0.38,0.22,0.34
"Lonely","KaBuM! Esports","Top",18,"6%","33%",40,54,60,1.9,"59.9%","24.0%","16.8%","6%",-57,-89,-0.7,8.1,"25.2%",543,"26.9%","25.6%",238,"24.2%",0,0.48,0.2,0.26
"Momochi","Liberty","Support",1,"0%","100%",1,6,1,0.3,"28.6%","14.3%","28.6%","0%",-96,-124,-2,0.9,"2.0%",119,"7.9%","7.1%",87,"9.8%",0,1.54,0.35,0.12
"Netuno","Los Grandes","ADC",18,"33%","50%",90,44,69,3.6,"72.6%","41.1%","15.0%","22%",29,-81,0.3,9.5,"34.8%",707,"31.4%","35.0%",321,"29.4%",1,0.38,0.12,0.33
"Nia","INTZ","Support",18,"61%","33%",7,54,219,4.2,"85.3%","2.6%","23.1%","39%",35,110,3.1,1.1,"2.5%",127,"5.6%","4.9%",111,"9.4%",0,1.76,0.48,0.36
"NinjaKiwi","INTZ","ADC",18,"61%","61%",82,50,117,4,"75.1%","30.9%","21.4%","28%",30,-106,-1.2,9.6,"34.4%",701,"30.7%","33.0%",324,"27.6%",0,0.48,0.2,0.52
"NOsFerus","INTZ","Middle",18,"61%","61%",69,43,124,4.5,"72.8%","26.0%","18.4%","22%",-92,-204,-5.4,7.4,"22.3%",551,"23.9%","24.0%",249,"21.3%",0,0.37,0.21,0.19
