"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Kiari","Liberty Academy","Top",4,"75%","75%",9,5,31,8,"58.0%","13.0%","10.2%","0%",191,63,5.3,8.6,"26.0%",528,"22.9%","21.0%",283,"22.3%",0,0.42,0.18,0.12
"Kick","Fluxo Academy","Support",18,"56%","72%",13,51,193,4,"80.2%","5.1%","21.7%","39%",-52,-130,-2.4,0.9,"2.2%",154,"7.5%","6.6%",108,"9.2%",0,1.37,0.36,0.35
"kksh","paiN Gaming Academy","ADC",18,"56%","22%",104,33,77,5.5,"73.9%","42.4%","13.9%","22%",-22,-41,1.4,9.7,"35.5%",708,"33.3%","38.1%",332,"29.1%",0,0.36,0.11,0.21
"kojima","Fluxo Academy","ADC",18,"56%","39%",100,45,85,4.1,"72.0%","38.9%","19.1%","22%",174,163,4,9.7,"33.9%",617,"29.4%","32.0%",335,"28.4%",0,0.41,0.17,0.35
"Leleko","Vivo Keyd Stars Academy","Middle",18,"67%","44%",74,50,128,4,"70.9%","26.0%","23.5%","11%",80,26,1.8,7.8,"23.3%",622,"26.5%","26.0%",273,"22.3%",0,0.47,0.2,0.29
"Look","INTZ Academy","Support",18,"33%","39%",7,59,122,2.2,"71.7%","3.9%","22.5%","28%",-103,-3,1.1,1.1,"2.7%",110,"5.8%","5.1%",100,"9.3%",0,1.39,0.48,0.4
"Makes","LOUD Academy","Top",18,"44%","50%",59,75,105,2.2,"61.2%","22.0%","28.5%","11%",13,-58,3.7,7.3,"22.7%",507,"25.1%","22.0%",250,"22.8%",0,0.43,0.15,0.17
"Manel","FURIA Academy","Support",8,"38%","25%",14,35,59,2.1,"70.2%","13.5%","29.2%","63%",217,49,-2.9,1.1,"2.9%",219,"10.8%","9.4%",112,"10.0%",0,1.58,0.52,0.45
"Mido","Los Grandes Academy","Support",18,"28%","50%",6,48,131,2.9,"76.1%","3.3%","17.8%","22%",-38,53,-1.3,0.9,"2.3%",111,"5.6%","4.0%",90,"8.5%",0,1.59,0.46,0.33
"Miss","paiN Gaming Academy","Support",5,"40%","60%",4,15,31,2.3,"81.4%","9.3%","22.1%","20%",-135,-67,-3.8,0.5,"1.3%",143,"8.4%","7.1%",92,"8.6%",0,1.21,0.41,0.26
"Morttheus","RED Academy","ADC",18,"56%","67%",83,34,88,5,"69.0%","33.5%","15.3%","50%",259,153,3.9,9.9,"33.8%",635,"28.0%","30.0%",332,"28.0%",0,0.42,0.16,0.38
"neyzz","Los Grandes Academy","Middle",17,"29%","53%",46,53,66,2.1,"64.4%","26.4%","21.4%","12%",-57,-72,-0.7,8.7,"27.0%",606,"29.9%","31.7%",258,"24.5%",0,0.49,0.17,0.31
"neyzz","Los Grandes Academy","Top",1,"0%","0%",4,4,1,1.3,"83.3%","66.7%","19.0%","0%",-292,-202,0,8.8,"30.9%",761,"41.9%","40.8%",283,"31.7%",0,0.44,0.2,0.24
"Paclo","INTZ Academy","Top",7,"29%","57%",9,21,14,1.1,"41.8%","16.4%","21.0%","0%",-206,-111,-1.1,7.7,"23.0%",378,"21.0%","18.9%",208,"20.8%",0,0.3,0.18,0.14
"Picknn","Fluxo Academy","Middle",18,"56%","50%",56,55,110,3,"64.6%","21.8%","23.4%","17%",-98,33,0.4,8.1,"24.2%",540,"26.0%","26.9%",269,"23.1%",0,0.44,0.18,0.23
"Piloto","Liberty Academy","Middle",14,"57%","36%",64,22,95,7.2,"71.6%","28.8%","12.6%","21%",266,182,6.6,8.1,"25.9%",618,"26.7%","26.7%",272,"23.7%",0,0.49,0.26,0.19
"Qats","paiN Gaming Academy","Middle",18,"56%","61%",55,57,110,2.9,"67.3%","22.4%","23.9%","17%",-146,-100,-5.6,7.7,"23.5%",516,"24.6%","23.9%",243,"21.8%",0,0.48,0.23,0.23
"Reaper","Liberty Academy","ADC",14,"57%","57%",84,36,85,4.7,"76.1%","37.8%","20.6%","0%",-161,4,-2.6,8.6,"31.4%",715,"30.3%","33.3%",309,"26.7%",0,0.33,0.08,0.24
"Ryaan","LOUD Academy","Middle",2,"0%","0%",2,5,3,1,"55.6%","22.2%","17.2%","0%",209,91,0,7.5,"22.9%",535,"34.8%","35.7%",209,"23.3%",0,0.25,0.16,0.19
"Samkz","KaBuM! Academy","Jungle",6,"67%","17%",5,16,60,4.1,"69.1%","5.3%","19.5%","17%",279,176,3.8,5,"12.7%",249,"11.4%","11.4%",184,"15.4%",0,0.51,0.48,0.41
"Sant","LOUD Academy","ADC",18,"44%","44%",70,45,102,3.8,"64.2%","26.1%","17.1%","17%",-524,-258,-9.3,9.1,"32.8%",547,"25.9%","28.8%",289,"25.7%",0,0.51,0.17,0.27
"scamber","RED Academy","Support",18,"56%","39%",11,38,171,4.8,"73.4%","4.4%","17.1%","44%",53,-25,-2,1.1,"2.8%",133,"6.4%","5.6%",113,"9.6%",0,1.79,0.54,0.45
"scary","KaBuM! Academy","Jungle",12,"67%","58%",18,43,119,3.2,"74.1%","9.7%","27.7%","33%",-167,-60,-0.6,5.4,"16.6%",296,"13.1%","13.3%",211,"17.4%",2,0.42,0.35,0.4
"scuro","KaBuM! Academy","ADC",18,"67%","61%",90,47,104,4.1,"69.5%","32.3%","19.8%","28%",-57,-6,-0.7,9.5,"32.8%",683,"29.3%","31.8%",322,"26.3%",0,0.49,0.17,0.33
"Sephis","LOUD Academy","Middle",2,"50%","100%",5,6,13,3,"75.0%","20.8%","20.0%","0%",-225,-171,-3.5,7,"22.7%",421,"24.5%","26.0%",217,"20.0%",0,0.35,0.13,0.17
"Shoiti","FURIA Academy","Support",10,"30%","70%",4,38,75,2.1,"73.1%","3.7%","23.0%","40%",105,126,3.1,1.3,"3.9%",122,"6.4%","6.0%",101,"9.5%",0,1.43,0.47,0.5
"SkB","Liberty Academy","Top",14,"57%","50%",20,38,93,3,"50.9%","9.0%","21.7%","7%",59,46,3.6,7.5,"23.2%",431,"19.6%","16.3%",230,"20.5%",0,0.49,0.17,0.14
"Soweto","RED Academy","Jungle",2,"0%","50%",9,13,15,1.8,"82.8%","31.0%","28.9%","50%",-624,-60,6,4.9,"12.1%",472,"19.0%","20.4%",203,"19.2%",0,0.38,0.35,0.32
"Soweto","RED Academy","Top",10,"60%","60%",25,27,62,3.2,"59.6%","17.1%","23.5%","10%",-211,-122,-8.9,7.4,"22.9%",477,"22.1%","19.8%",249,"21.0%",0,0.38,0.19,0.17
"ST3PZ","Vivo Keyd Stars Academy","ADC",18,"67%","39%",70,43,114,4.3,"64.6%","24.6%","20.2%","39%",4,-107,-1.1,8.6,"27.4%",631,"26.7%","28.9%",288,"23.3%",0,0.44,0.19,0.29
"StineR","FURIA Academy","Jungle",18,"33%","33%",42,49,114,3.2,"73.6%","19.8%","17.2%","44%",173,22,-1,5.4,"15.5%",302,"15.1%","15.8%",201,"18.3%",2,0.45,0.46,0.35
"Sting","Vivo Keyd Stars Academy","Jungle",18,"67%","61%",79,37,141,5.9,"77.2%","27.7%","17.4%","44%",343,207,2.3,6.1,"19.4%",481,"20.1%","21.8%",268,"21.4%",0,0.26,0.22,0.34
"SuperCleber","KaBuM! Academy","Top",18,"67%","44%",65,42,96,3.8,"57.7%","23.3%","17.7%","11%",144,66,4.3,7.8,"22.7%",503,"22.5%","20.6%",272,"22.5%",0,0.49,0.27,0.16
"Tatu","INTZ Academy","Jungle",18,"33%","72%",30,52,102,2.5,"73.3%","16.7%","19.8%","33%",-118,-131,0.1,5.1,"15.8%",293,"15.3%","16.0%",186,"17.7%",0,0.41,0.38,0.35
"Telas","Vivo Keyd Stars Academy","Support",6,"67%","50%",2,12,64,5.5,"74.2%","2.2%","22.6%","50%",49,256,1,0.9,"2.6%",162,"7.1%","5.8%",120,"9.7%",0,1.3,0.21,0.36
"Tyrin","Vivo Keyd Stars Academy","Top",18,"67%","39%",46,30,97,4.8,"50.2%","16.1%","14.1%","17%",263,210,6.9,8.7,"27.2%",482,"20.7%","18.4%",287,"23.2%",0,0.46,0.16,0.14
"Vahvel","LOUD Academy","Support",18,"44%","33%",13,63,197,3.3,"78.4%","4.9%","24.0%","17%",-90,-153,3.5,1,"2.3%",118,"5.9%","5.1%",101,"8.9%",0,1.64,0.42,0.32
"Wos","Liberty Academy","Support",4,"75%","25%",0,16,53,3.3,"76.8%","0.0%","32.7%","50%",-71,210,1.5,1.1,"2.5%",129,"5.5%","4.3%",105,"8.5%",0,1.46,0.48,0.29
"yazi","FURIA Academy","ADC",18,"33%","61%",54,55,94,2.7,"69.8%","25.5%","19.3%","44%",16,-16,-1.4,8.9,"30.4%",488,"25.2%","26.5%",276,"25.0%",0,0.47,0.2,0.29
"Yuki","Vivo Keyd Stars Academy","Support",12,"67%","75%",14,41,131,3.5,"74.0%","7.1%","25.6%","33%",-21,-141,-1.3,1.2,"2.7%",129,"5.5%","4.4%",121,"9.8%",0,1.66,0.58,0.39
"Yupps","paiN Gaming Academy","Top",18,"56%","50%",44,54,101,2.7,"59.2%","18.0%","22.7%","28%",179,139,2.1,8,"26.2%",471,"24.0%","20.9%",262,"23.4%",0,0.4,0.19,0.12
